Sample,Category,Length,Count
MVs-G1,pDS-noGFPw,32,178
MVs-G1,pDS-noGFPw,33,125
MVs-G1,pDS-noGFPw,34,67
MVs-G1,pDS-noGFPw,35,36
MVs-G1,pDS-noGFPw,36,19
MVs-G1,pDS-noGFPw,37,16
MVs-G1,pDS-noGFPw,38,5
MVs-G1,pDS-noGFPw,39,7
MVs-G1,pDS-noGFPw,40,6
MVs-G1,pDS-noGFPw,41,2
MVs-G1,pDS-noGFPw,43,1
MVs-G1,pDS-noGFPw,44,1
MVs-G1,pDS-noGFPw,45,1
MVs-G2,NZ_CP007446.1,15,69558
MVs-G2,NZ_CP007446.1,16,151085
MVs-G2,NZ_CP007446.1,17,136508
MVs-G2,NZ_CP007446.1,18,210264
MVs-G2,NZ_CP007446.1,19,346328
MVs-G2,NZ_CP007446.1,20,337066
MVs-G2,NZ_CP007446.1,21,254877
MVs-G2,NZ_CP007446.1,22,227216
MVs-G2,NZ_CP007446.1,23,182604
MVs-G2,NZ_CP007446.1,24,163241
MVs-G2,NZ_CP007446.1,25,144343
MVs-G2,NZ_CP007446.1,26,103006
MVs-G2,NZ_CP007446.1,27,82452
MVs-G2,NZ_CP007446.1,28,93103
MVs-G2,NZ_CP007446.1,29,83462
MVs-G2,NZ_CP007446.1,30,63699
MVs-G2,NZ_CP007446.1,31,54554
MVs-G2,NZ_CP007446.1,32,38162
MVs-G2,NZ_CP007446.1,33,27473
MVs-G2,NZ_CP007446.1,34,19945
MVs-G2,NZ_CP007446.1,35,14460
MVs-G2,NZ_CP007446.1,36,6256
MVs-G2,NZ_CP007446.1,37,4949
MVs-G2,NZ_CP007446.1,38,2033
MVs-G2,NZ_CP007446.1,39,1798
MVs-G2,NZ_CP007446.1,40,1105
MVs-G2,NZ_CP007446.1,41,856
MVs-G2,NZ_CP007446.1,42,914
MVs-G2,NZ_CP007446.1,43,331
MVs-G2,NZ_CP007446.1,44,216
MVs-G2,NZ_CP007446.1,45,109
MVs-G2,NZ_CP007446.1,46,71
MVs-G2,NZ_CP007446.1,47,39
MVs-G2,NZ_CP007446.1,48,20
MVs-G2,NZ_CP007446.1,49,10
MVs-G2,NZ_CP007446.1,50,13
MVs-G2,NZ_CP007446.1,51,7
MVs-G2,NZ_CP007446.1,52,5
MVs-G2,NZ_CP007446.1,53,3
MVs-G2,NZ_CP007446.1,54,3
MVs-G2,NZ_CP007446.1,55,4
MVs-G2,NZ_CP007446.1,56,1
MVs-G2,GFP_wPT,15,4612
MVs-G2,GFP_wPT,16,5292
MVs-G2,GFP_wPT,17,7620
MVs-G2,GFP_wPT,18,13105
MVs-G2,GFP_wPT,19,19079
MVs-G2,GFP_wPT,20,13275
MVs-G2,GFP_wPT,21,16961
MVs-G2,GFP_wPT,22,11370
MVs-G2,GFP_wPT,23,8097
MVs-G2,GFP_wPT,24,6287
MVs-G2,GFP_wPT,25,7669
MVs-G2,GFP_wPT,26,3629
MVs-G2,GFP_wPT,27,3352
MVs-G2,GFP_wPT,28,2923
MVs-G2,GFP_wPT,29,2291
MVs-G2,GFP_wPT,30,1631
MVs-G2,GFP_wPT,31,847
MVs-G2,GFP_wPT,32,609
MVs-G2,GFP_wPT,33,471
MVs-G2,GFP_wPT,34,332
MVs-G2,GFP_wPT,35,143
MVs-G2,GFP_wPT,36,108
MVs-G2,GFP_wPT,37,68
MVs-G2,GFP_wPT,38,57
MVs-G2,GFP_wPT,39,24
MVs-G2,GFP_wPT,40,31
MVs-G2,GFP_wPT,41,12
MVs-G2,GFP_wPT,42,15
MVs-G2,GFP_wPT,43,4
MVs-G2,GFP_wPT,44,1
MVs-G2,GFP_wPT,46,2
MVs-G2,GFP_wPT,47,1
MVs-G2,GFP_wPT,48,1
MVs-G2,pDS-noGFPw,15,697
MVs-G2,pDS-noGFPw,16,846
MVs-G2,pDS-noGFPw,17,1278
MVs-G2,pDS-noGFPw,18,1829
MVs-G2,pDS-noGFPw,19,1934
MVs-G2,pDS-noGFPw,20,1917
MVs-G2,pDS-noGFPw,21,2096
MVs-G2,pDS-noGFPw,22,1519
MVs-G2,pDS-noGFPw,23,1349
MVs-G2,pDS-noGFPw,24,1043
MVs-G2,pDS-noGFPw,25,787
MVs-G2,pDS-noGFPw,26,632
MVs-G2,pDS-noGFPw,27,644
MVs-G2,pDS-noGFPw,28,477
MVs-G2,pDS-noGFPw,29,456
MVs-G2,pDS-noGFPw,30,342
MVs-G2,pDS-noGFPw,31,205
MVs-G2,pDS-noGFPw,32,177
MVs-G2,pDS-noGFPw,33,105
MVs-G2,pDS-noGFPw,34,64
MVs-G2,pDS-noGFPw,35,39
MVs-G2,pDS-noGFPw,36,21
MVs-G2,pDS-noGFPw,37,11
MVs-G2,pDS-noGFPw,38,16
MVs-G2,pDS-noGFPw,39,3
MVs-G2,pDS-noGFPw,40,7
MVs-G2,pDS-noGFPw,42,2
MVs-G2,pDS-noGFPw,45,1
MVs-G2,pDS-noGFPw,50,1
MVs-G2,pDS-noGFPw,51,1
MVs-G3,NZ_CP007446.1,15,34523
MVs-G3,NZ_CP007446.1,16,65499
MVs-G3,NZ_CP007446.1,17,83832
MVs-G3,NZ_CP007446.1,18,141154
MVs-G3,NZ_CP007446.1,19,262923
MVs-G3,NZ_CP007446.1,20,263440
MVs-G3,NZ_CP007446.1,21,204304
MVs-G3,NZ_CP007446.1,22,177649
MVs-G3,NZ_CP007446.1,23,167434
MVs-G3,NZ_CP007446.1,24,151040
MVs-G3,NZ_CP007446.1,25,130547
MVs-G3,NZ_CP007446.1,26,103377
MVs-G3,NZ_CP007446.1,27,91966
MVs-G3,NZ_CP007446.1,28,103373
MVs-G3,NZ_CP007446.1,29,83646
MVs-G3,NZ_CP007446.1,30,64524
MVs-G3,NZ_CP007446.1,31,57911
MVs-G3,NZ_CP007446.1,32,43616
MVs-G3,NZ_CP007446.1,33,30192
MVs-G3,NZ_CP007446.1,34,18139
MVs-G3,NZ_CP007446.1,35,12291
MVs-G3,NZ_CP007446.1,36,5844
MVs-G3,NZ_CP007446.1,37,4516
MVs-G3,NZ_CP007446.1,38,2224
MVs-G3,NZ_CP007446.1,39,1651
MVs-G3,NZ_CP007446.1,40,986
MVs-G3,NZ_CP007446.1,41,697
MVs-G3,NZ_CP007446.1,42,681
MVs-G3,NZ_CP007446.1,43,368
MVs-G3,NZ_CP007446.1,44,186
MVs-G3,NZ_CP007446.1,45,104
MVs-G3,NZ_CP007446.1,46,60
MVs-G3,NZ_CP007446.1,47,48
MVs-G3,NZ_CP007446.1,48,21
MVs-G3,NZ_CP007446.1,49,16
MVs-G3,NZ_CP007446.1,50,7
MVs-G3,NZ_CP007446.1,51,7
MVs-G3,NZ_CP007446.1,52,5
MVs-G3,NZ_CP007446.1,53,2
MVs-G3,NZ_CP007446.1,54,5
MVs-G3,NZ_CP007446.1,55,1
MVs-G3,NZ_CP007446.1,56,2
MVs-G3,NZ_CP007446.1,57,2
MVs-G3,NZ_CP007446.1,59,1
MVs-G3,NZ_CP007446.1,63,1
MVs-G3,NZ_CP007446.1,66,1
MVs-G3,GFP_wPT,15,3646
MVs-G3,GFP_wPT,16,2412
MVs-G3,GFP_wPT,17,4030
MVs-G3,GFP_wPT,18,7185
MVs-G3,GFP_wPT,19,11546
MVs-G3,GFP_wPT,20,7990
MVs-G3,GFP_wPT,21,10624
